brand,model,model_year,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
Audi,SQ5 3.0T Prestige,2018,Gasoline,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,50000.00
Cadillac,Escalade Sport Platinum,2021,Diesel,3.0L I6 24V DDI DOHC Turbo Diesel,10-Speed Automatic,Infrared Tintcoat,Jet Black,None reported,,97952.00
BMW,M235 i,2014,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,17200.00
Kia,Telluride SX,2023,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Midnight Black,Gray,None reported,,50998.00
Chevrolet,Express 3500 Base,2008,Gasoline,323.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,22000.00
GMC,Acadia SLE,2020,Gasoline,2.5L I4 16V GDI DOHC,9-Speed Automatic,Summit White,Jet Black,None reported,Yes,27654.00
BMW,X3 xDrive30i,2021,Gasoline,2.0 Liter Turbo,Automatic,Phytonic Blue Metallic,Canberra Beige/Black,None reported,,41598.00
Audi,TT 2.0T,2015,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,14000.00
Subaru,Outback 3.6R Touring,2017,Gasoline,256.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Brown,–,None reported,Yes,20500.00
Mitsubishi,Eclipse Spyder GS,2001,Gasoline,140.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,–,None reported,Yes,4495.00
Hyundai,Santa Fe SEL,2022,Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,Quartz White,Black,,,29800.00
BMW,M5 Base,2018,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,67000.00
Dodge,Ram 1500 ST,2011,Gasoline,390.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,10500.00
Ford,Fusion Energi Titanium,2015,Plug-In Hybrid,188.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,CVT Transmission,Blue,Black,At least 1 accident or damage reported,Yes,10000.00
Toyota,Tundra Hybrid TRD Pro,2022,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Orange,Black,None reported,Yes,71000.00
Land,Rover Range Rover Evoque Pure,2015,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,Yes,17500.00
Lincoln,Navigator Base,2009,E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,9750.00
Ford,Mustang Mach-E Select,2023,,Standard Range Battery,Automatic,Rapid Red Metallic Tinted Clearcoat,Black Onyx,None reported,,46998.00
Mercedes-Benz,Sprinter 3500 High Roof,2017,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,Black,Black,None reported,Yes,75000.00
Mercedes-Benz,AMG E 63 S 4MATIC,2019,Gasoline,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Brown,None reported,Yes,95000.00
BMW,440 i xDrive,2018,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Blue,None reported,Yes,32000.00
Acura,Integra LS,1998,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,–,At least 1 accident or damage reported,Yes,5500.00
Audi,Q7 55 Prestige,2019,Gasoline,3.0L V6 24V GDI DOHC Supercharged,8-Speed Automatic,Cobra Beige Metallic,Nougat Brown,None reported,Yes,36340.00
BMW,M6 Base,2014,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,40999.00
Volkswagen,Arteon 2.0T SE,2021,Gasoline,2.0 Liter TSI,Automatic,Pure White,Titan Black,None reported,,29798.00
Lexus,LX 600 F SPORT,2023,Gasoline,409.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,120990.00
INFINITI,Q40 Base,2015,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,11500.00
BMW,Z4 3.0i Roadster,2006,Gasoline,215.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Green,Beige,At least 1 accident or damage reported,Yes,11500.00
BMW,M6 Base,2015,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,None reported,Yes,59549.00
BMW,X3 M40i,2019,Gasoline,3.0 Liter Turbo,Automatic,Alpine White,Oyster W/Contrast,None reported,,39998.00
Kia,Sorento LX,2014,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,Snow White Pearl,Beige,None reported,,15363.00
Rivian,R1S Adventure Package,2023,,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,Gray,White,None reported,Yes,95000.00
BMW,Z4 sDrive28i,2015,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,White,None reported,Yes,29995.00
Cadillac,CTS-V Base,2017,Gasoline,640.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,60999.00
Ford,Transit Connect XL,2020,Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,18000.00
Land,Rover Range Rover Velar SVAutobiography Dynamic Edition,2020,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,None reported,Yes,72000.00
Lexus,IS 250 Base,2010,Gasoline,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,White,At least 1 accident or damage reported,Yes,13250.00
BMW,X7 xDrive40i,2023,Hybrid,375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,78350.00
Volvo,XC90 T6 Momentum,2018,Gasoline,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Beige,At least 1 accident or damage reported,Yes,22000.00
Hyundai,Tucson Limited,2008,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,Gray,None reported,Yes,3850.00
Dodge,Durango GT,2021,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,DB Black Clearcoat,Black,None reported,,37995.00
Mercedes-Benz,AMG C 43 Base 4MATIC,2017,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,39000.00
GMC,Yukon XL SLT,2019,Gasoline,5.3L V8 16V GDI OHV,Automatic,Summit White,Jet Black,None reported,Yes,42995.00
Audi,RS Q8 4.0T,2020,Gasoline,591.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,91500.00
Rivian,R1S Adventure Package,2023,,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Silver,None reported,Yes,94500.00
Toyota,RAV4 Hybrid XLE,2019,Hybrid,219.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Gray,Gray,None reported,Yes,33000.00
Alfa,Romeo Stelvio Quadrifoglio,2019,Gasoline,505.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,53900.00
Land,Rover Range Rover Evoque SE,2020,Gasoline,2.0 Liter,Automatic,Firenze Red Metallic,Ebony,None reported,,36598.00
Alfa,Romeo Stelvio Ti Sport,2020,Gasoline,2.0L I4 16V GDI SOHC Turbo,8-Speed Automatic,Anodized Blue Metallic,Ice,None reported,Yes,35345.00
Cadillac,Escalade EXT Base,2007,Gasoline,403.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,22999.00
Ford,F-250 Lariat,2019,E85 Flex Fuel,6.2L V8 16V MPFI SOHC Flexible Fuel,6-Speed Automatic,Black,Black,None reported,,47756.00
Nissan,350Z Enthusiast,2005,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,Black,None reported,Yes,9950.00
Subaru,Legacy 2.5 i Premium,2010,Gasoline,170.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,7600.00
Honda,Civic LX,2003,Gasoline,115.0HP 1.7L 4 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,3000.00
McLaren,570S Spider,2020,Gasoline,562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,185000.00
Maserati,Ghibli S Q4,2016,Gasoline,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Red,None reported,Yes,36000.00
Jeep,Wagoneer Series II 4x4,2022,Gasoline,"HEMI 5.7L V-8 variable valve control, regular unleaded, engine w","Automatic, 8-Spd",–,–,None reported,,58900.00
Maserati,Ghibli S Q4,2017,Gasoline,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,None reported,Yes,27995.00
Lexus,RX 300 Base,2002,Gasoline,220.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,6348.00
Lincoln,Aviator Luxury,2005,Gasoline,302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,2000.00
Ford,Transit Connect XL,2018,E85 Flex Fuel,169.0HP 2.5L 4 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Red,–,,,21500.00
Cadillac,SRX Luxury Collection,2016,Gasoline,3.6 Liter SIDI DOHC,Automatic,Red,Ebony,At least 1 accident or damage reported,,19998.00
Lincoln,MKS EcoBoost,2016,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,None reported,Yes,21000.00
Toyota,Yaris Base,2010,Gasoline,106.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Gray,None reported,Yes,5000.00
Mercedes-Benz,AMG E 63 S 4MATIC,2019,Gasoline,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,72000.00
Mercedes-Benz,GLS 450 Base,2022,Hybrid,3.0 Liter DOHC Twin Turbo,Automatic,MANUFAKTUR Diamond White Bright,Macchiato Beige/Black,None reported,,71998.00
Mercedes-Benz,G-Class G 550 4MATIC,2019,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,127899.00
Hyundai,Veloster Turbo R-Spec,2014,Gasoline,201.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Red,None reported,Yes,11000.00
Toyota,4Runner Limited,2019,Gasoline,4.0L V6 24V MPFI DOHC,5-Speed Automatic,Midnight Black Metallic,Sand Beige,None reported,,40368.00
Mercedes-Benz,S-Class S 580 4MATIC,2021,Hybrid,496.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,Black,None reported,Yes,99900.00
Audi,RS 7 4.0T Performance Prestige,2017,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,White,Black,None reported,,67900.00
Mazda,MX-5 Miata Base,1999,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Green,Beige,At least 1 accident or damage reported,Yes,12900.00
Mercedes-Benz,AMG C 43 Base,2017,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Brown,At least 1 accident or damage reported,Yes,33999.00
Chevrolet,Corvette Z06,2007,Gasoline,505.0HP 7.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Orange,Black,None reported,Yes,47500.00
Ford,F-250 King Ranch,2021,Diesel,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,White,Brown,At least 1 accident or damage reported,Yes,73000.00
Volkswagen,Tiguan 2.0T SE,2022,Gasoline,184.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,White,None reported,Yes,27900.00
BMW,750 Li xDrive,2012,Gasoline,407.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,16000.00
BMW,M3 CS,2024,Gasoline,543.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,128995.00
Lexus,GX 460 Base,2018,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Brown,None reported,Yes,37300.00
Audi,Q7 3.0T Premium,2017,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Brown,None reported,Yes,25999.00
Alfa,Romeo Stelvio Ti Sport,2018,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,At least 1 accident or damage reported,Yes,26600.00
Land,Rover Defender X,2023,Hybrid,3.0 Liter,Automatic,Santorin Black,Black,None reported,,95998.00
BMW,750 i xDrive,2019,Gasoline,4.4 Liter DOHC Twin Turbo,Automatic,Black,Black,None reported,,50998.00
BMW,M3 Base,2015,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,None reported,Yes,44950.00
Rolls-Royce,Ghost Base,2021,Gasoline,563.0HP 6.7L 12 Cylinder Engine Gasoline Fuel,A/T,White,White,None reported,Yes,314900.00
Audi,e-tron Prestige,2019,,355.0HP Electric Motor Electric Fuel System,1-Speed A/T,Blue,Beige,None reported,Yes,38000.00
Lexus,IS 250 Base,2011,Gasoline,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Beige,At least 1 accident or damage reported,Yes,11400.00
Land,Rover Range Rover Evoque SE Premium,2016,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,Yes,19000.00
Ferrari,California T,2015,Gasoline,553.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Brown,At least 1 accident or damage reported,Yes,124990.00
Lexus,LC 500 Base,2018,Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Red,None reported,Yes,63997.00
Kia,EV6 Wind,2022,,111.2Ah / FR 70kW / RR 160kW (697V),Automatic,Glacier,Black,None reported,,38998.00
GMC,Sierra 1500 SLE Crew Cab,2005,Gasoline,295.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Silver,Gray,At least 1 accident or damage reported,Yes,5800.00
Lexus,ES 350 Base,2008,Gasoline,272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Beige,None reported,Yes,8995.00
Nissan,370Z NISMO,2010,Gasoline,350.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,M/T,Silver,–,None reported,Yes,29000.00
Dodge,Ram 1500 Laramie,2004,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,5700.00
Ford,Expedition Limited,2016,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,19995.00
INFINITI,QX70 Base,2015,Gasoline,325.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,17800.00
BMW,X5 M Base,2023,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Alpine White,Black,None reported,,105900.00
Lincoln,Navigator Select,2016,Gasoline,380.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,None reported,Yes,19780.00
Volvo,V60 Cross Country T5,2020,Gasoline,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,36000.00
Audi,A7 3.0T Premium Plus,2018,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,37000.00
Ford,Bronco Sport Outer Banks,2021,Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,Blue,Navy Pier,None reported,Yes,31621.00
Volkswagen,Eurovan MV,2001,Gasoline,140.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,–,None reported,Yes,5500.00
Jaguar,F-TYPE R,2017,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,51500.00
Land,Rover Range Rover Evoque R-Dynamic HSE,2020,Hybrid,2.0 Liter,Automatic,Silver,Black,None reported,,44998.00
RAM,1500 Laramie,2021,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Delmonico Red Pearlcoat,Black,None reported,Yes,45277.00
Rivian,R1S Adventure Package,2023,,835.0HP Electric Motor Electric Fuel System,A/T,Gray,Gray,None reported,Yes,91000.00
BMW,M760 i xDrive,2021,Gasoline,"6.6L V-12 gasoline direct injection, DOHC, variable valve contro","Automatic, 8-Spd Sport w/Sport & Manual Modes",BLACK,WHITE,None reported,,91900.00
Lexus,LX 570 Three-Row,2018,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,65000.00
Land,Rover Range Rover Velar P250 SE R-Dynamic,2019,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,38000.00
Acura,MDX w/Technology Package,2023,Gasoline,3.5 Liter SOHC,F,White,Parchment.,None reported,,54998.00
Lexus,LC 500 Base,2018,Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,65000.00
Audi,SQ5 3.0T Prestige,2019,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,43500.00
Land,Rover Range Rover Velar P250 SE R-Dynamic,2018,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,Yes,34900.00
RAM,1500 Limited,2020,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Bright White Clearcoat,Black,None reported,Yes,50658.00
Audi,S4 3.0T Premium,2019,Gasoline,3.0L V6 24V GDI DOHC Turbo,8-Speed Automatic,Brilliant Black,Black,None reported,,42900.00
Audi,A8 4.0,2020,Hybrid,4.0 Liter Turbo,Automatic,Mythos Black Metallic,Sarder Brown,None reported,,59598.00
Cadillac,Escalade ESV Sport,2021,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,93000.00
Mercedes-Benz,AMG GT AMG GT S,2016,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Black,None reported,Yes,85500.00
BMW,M3 Base,2009,Gasoline,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,28000.00
Honda,Accord EX-L,2009,Gasoline,190.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,None reported,Yes,6250.00
Rolls-Royce,Cullinan,2022,Gasoline,6.7L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,–,Grace White,None reported,Yes,449995.00
Cadillac,Escalade Premium,2015,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,35999.00
Acura,RDX Technology Package,2020,Gasoline,2.0L I4 16V GDI DOHC Turbo,10-Speed Automatic,Silver,Ebony,None reported,Yes,36570.00
BMW,X2 xDrive28i,2022,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,Black,None reported,Yes,29999.00
Chrysler,Pacifica Touring,2017,–,–,9-Speed A/T,White,Beige,None reported,Yes,20000.00
Buick,Verano Convenience,2013,E85 Flex Fuel,180.0HP 2.4L 4 Cylinder Engine Flex Fuel Capability,Transmission w/Dual Shift Mode,Silver,Gray,None reported,Yes,11995.00
Mercedes-Benz,AMG S 63 Base 4MATIC,2020,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,Magnetite Black Metallic,Black,None reported,,104900.00
RAM,2500 Tradesman,2021,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Gray,At least 1 accident or damage reported,Yes,48000.00
Mercedes-Benz,Metris Base,2018,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,44900.00
Land,Rover Range Rover Evoque S,2020,Gasoline,2.0 Liter,Automatic,Carpathian Grey Premium Metallic,Cloud,None reported,,36998.00
Volvo,XC90 T6 Inscription,2020,Gasoline,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,White,None reported,Yes,50000.00
Ford,Expedition King Ranch,2020,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,48999.00
Toyota,Highlander Hybrid Limited,2006,Hybrid,208.0HP 3.3L V6 Cylinder Engine Gas/Electric Hybrid,A/T,Gold,Beige,At least 1 accident or damage reported,Yes,5000.00
Toyota,Tundra SR5 Access Cab,2005,Gasoline,282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,Gray,None reported,Yes,8500.00
Ford,Transit-350 Base,2023,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Gray,None reported,Yes,87500.00
Chevrolet,Express 3500 LT,2016,Diesel,260.0HP 6.6L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,White,Gray,None reported,Yes,19500.00
Chevrolet,Bolt EUV Premier,2022,,200.0HP Electric Motor Electric Fuel System,A/T,Black,Blue,None reported,Yes,33000.00
Jeep,Wrangler Unlimited 4xe Sahara,2021,Hybrid,2.0L I4 16V GDI DOHC Turbo Hybrid,8-Speed Automatic,Bright White Clearcoat,Black,None reported,,42998.00
BMW,X7 xDrive40i,2023,Hybrid,375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Brown,None reported,Yes,87000.00
Mercedes-Benz,AMG GT 53 Base,2021,Gasoline,3.0L I6 24V GDI DOHC Turbo,9-Speed Automatic,–,–,None reported,Yes,87500.00
Toyota,Tundra Limited,2020,Gasoline,5.7L V8 32V MPFI DOHC,6-Speed Automatic,Gray,Black,None reported,Yes,45423.00
BMW,X1 xDrive28i,2021,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,32000.00
BMW,135 i,2008,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,15300.00
Mazda,Mazda3 Touring,2018,Gasoline,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,20500.00
Audi,A7 3.0T Premium Plus,2018,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,39999.00
Saturn,Sky Red Line,2008,Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,14995.00
BMW,Z4 2.5i Roadster,2005,Gasoline,184.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,None reported,Yes,9950.00
Volvo,XC90 Hybrid T8 Inscription,2020,Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,Blue,Brown,None reported,Yes,65000.00
Acura,TLX A-Spec,2021,Gasoline,2.0L I4 16V GDI DOHC Turbo,10-Speed Automatic,Red,Ebony,None reported,Yes,38781.00
Acura,MDX w/Technology Package,2022,Gasoline,3.5L 24V SOHC I-VTEC V6,2,Majestic Black Pearl,Espresso,None reported,,46598.00
Chevrolet,Tahoe High Country,2021,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,67100.00
Tesla,Model Y Long Range,2021,,425.0HP Electric Motor Electric Fuel System,A/T,White,White,None reported,Yes,42000.00
Mercedes-Benz,GLK-Class GLK 350,2013,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,,,11495.00
Chevrolet,Traverse LS,2022,Gasoline,3.6L V6 24V GDI DOHC,Automatic,Northsky Blue Metallic,Jet Black,None reported,,33299.00
BMW,550 Gran Turismo i,2013,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Gold,Brown,None reported,Yes,16800.00
Land,Rover Range Rover Sport HSE,2007,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,5750.00
BMW,430 i xDrive,2021,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,White,None reported,Yes,43000.00
Porsche,Cayman Base,2007,Gasoline,245.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,M/T,Black,Gray,At least 1 accident or damage reported,Yes,24999.00
Ford,Expedition Max King Ranch,2021,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Black,Mesa,None reported,Yes,62595.00
Rivian,R1S Adventure Package,2023,,835.0HP Electric Motor Electric Fuel System,A/T,Red,Black,,,94000.00
Mercedes-Benz,GLC 300 GLC 300,2021,Gasoline,2.0 Liter Turbo,Automatic,Black,–,None reported,,42598.00
Ford,Mustang Shelby GT500,2012,Gasoline,550.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,48000.00
Tesla,Model Y Long Range,2021,,425.0HP Electric Motor Electric Fuel System,1-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,36300.00
Nissan,370Z Base,2009,Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,15900.00
Toyota,Sequoia Platinum,2014,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,33000.00
Nissan,NV Passenger NV3500 HD SL V8,2020,Gasoline,375.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,63900.00
Ford,Transit Connect XL w/Rear Symmetrical Doors,2022,Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,33500.00
INFINITI,QX80 Base,2014,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,18900.00
